YAL001C,cytoplasm,nucleus
YAL002W,endosome
YAL005C,cytoplasm
YAL007C,ER
YAL008W,mitochondrion
YAL009W,nucleus
YAL010C,mitochondrion
YAL011W,nucleus
YAL012W,cytoplasm
YAL014C,cytoplasm,nucleus
YAL015C,cytoplasm,nucleus
YAL016W,cytoplasm,nucleus
YAL017W,cytoplasm
YAL019W,nucleus
YAL021C,cytoplasm
YAL023C,ER
YAL024C,cytoplasm
YAL026C,early Golgi,late Golgi
YAL027W,nucleus
YAL029C,bud neck,cytoplasm,cell periphery,bud
YAL031C,cytoplasm
YAL032C,nucleus
YAL033W,cytoplasm,nucleus
YAL034W-A,spindle pole
YAL035W,cytoplasm
YAL036C,cytoplasm
YAL038W,cytoplasm
YAL039C,mitochondrion
YAL041W,cytoplasm,nucleus
YAL043C,nucleus
YAL044C,mitochondrion
YAL047C,spindle pole
YAL049C,cytoplasm
YAL053W,bud neck,cell periphery,punctate composite,late Golgi,bud
YAL054C,cytoplasm,nucleus
YAL055W,punctate composite
YAL056W,cytoplasm,mitochondrion
YAL058W,ER
YAL059W,nucleus
YAL060W,cytoplasm
YAL061W,cytoplasm,nucleus
YAR002C-A,vacuolar membrane
YAR002W,nuclear periphery
YAR003W,nucleus
YAR007C,nucleus
YAR009C,punctate composite
YAR014C,cytoplasm,nucleus
YAR015W,cytoplasm,nucleus
YAR019C,spindle pole
YAR044W,punctate composite
YAR071W,vacuole
YBL001C,cytoplasm,nucleus
YBL002W,nucleus
YBL003C,nucleus
YBL004W,cytoplasm,nucleolus
YBL005W,cytoplasm,nucleus
YBL007C,cytoplasm,actin
YBL008W,cytoplasm,nucleus
YBL010C,late Golgi
YBL011W,ER
YBL013W,mitochondrion
YBL014C,cytoplasm,nucleolus
YBL015W,mitochondrion
YBL016W,cytoplasm,nucleus
YBL017C,punctate composite,endosome
YBL018C,nucleus
YBL019W,cytoplasm,nucleus
YBL021C,cytoplasm,nucleus
YBL022C,mitochondrion
YBL023C,cytoplasm,nucleus
YBL024W,nucleus
YBL025W,nucleolus
YBL026W,cytoplasm,nucleus
YBL027W,cytoplasm
YBL028C,nucleolus,nucleus
YBL029C-A,cell periphery
YBL029W,cytoplasm,nucleus
YBL031W,microtubule
YBL032W,cytoplasm
YBL033C,cytoplasm,nucleus
YBL034C,spindle pole
YBL035C,nucleus
YBL036C,cytoplasm,nucleus
YBL037W,bud neck,cell periphery
YBL038W,mitochondrion
YBL039C,cytoplasm
YBL040C,ER
YBL042C,cell periphery,bud
YBL045C,mitochondrion
YBL046W,nucleus
YBL047C,punctate composite
YBL051C,cytoplasm
YBL052C,nucleus
YBL054W,cytoplasm,nucleus
