YAL001C.cytoplasm,YAL001C.nucleus
YAL014C.cytoplasm,YAL014C.nucleus
YAL016W.cytoplasm,YAL016W.nucleus
YAL026C.early Golgi,YAL026C.late Golgi
YAL029C.cytoplasm,YAL029C.bud neck
YAL029C.cytoplasm,YAL029C.cell periphery
YAL029C.bud neck,YAL029C.cell periphery
YAL029C.cytoplasm,YAL029C.bud
YAL029C.bud neck,YAL029C.bud
YAL029C.cell periphery,YAL029C.bud
YAL033W.cytoplasm,YAL033W.nucleus
YAL041W.cytoplasm,YAL041W.nucleus
YAL053W.late Golgi,YAL053W.bud neck
YAL053W.late Golgi,YAL053W.cell periphery
YAL053W.bud neck,YAL053W.cell periphery
YAL053W.late Golgi,YAL053W.bud
YAL053W.bud neck,YAL053W.bud
YAL053W.cell periphery,YAL053W.bud
YAL053W.late Golgi,YAL053W.punctate composite
YAL053W.bud neck,YAL053W.punctate composite
YAL053W.cell periphery,YAL053W.punctate composite
YAL053W.bud,YAL053W.punctate composite
YAL056W.cytoplasm,YAL056W.mitochondrion
YAL061W.cytoplasm,YAL061W.nucleus
YAR014C.cytoplasm,YAR014C.nucleus
YAR015W.cytoplasm,YAR015W.nucleus
YBL004W.cytoplasm,YBL004W.nucleolus
YBL005W.cytoplasm,YBL005W.nucleus
YBL007C.cytoplasm,YBL007C.actin
YBL008W.cytoplasm,YBL008W.nucleus
YBL014C.cytoplasm,YBL014C.nucleolus
YBL016W.cytoplasm,YBL016W.nucleus
YBL017C.endosome,YBL017C.punctate composite
YBL019W.cytoplasm,YBL019W.nucleus
YBL021C.cytoplasm,YBL021C.nucleus
YBL023C.cytoplasm,YBL023C.nucleus
YBL026W.cytoplasm,YBL026W.nucleus
YBL036C.cytoplasm,YBL036C.nucleus
YBL037W.bud neck,YBL037W.cell periphery
YBL056W.cytoplasm,YBL056W.nucleus
YBL058W.cytoplasm,YBL058W.nucleus
YBL061C.cytoplasm,YBL061C.nucleus
YBL061C.cytoplasm,YBL061C.bud neck
YBL061C.nucleus,YBL061C.bud neck
YBL071W-A.cytoplasm,YBL071W-A.nucleus
YBL074C.cytoplasm,YBL074C.nucleus
YBL084C.cytoplasm,YBL084C.nucleus
YBL085W.cytoplasm,YBL085W.bud neck
YBL085W.cytoplasm,YBL085W.cell periphery
YBL085W.bud neck,YBL085W.cell periphery
YBL085W.cytoplasm,YBL085W.bud
YBL085W.bud neck,YBL085W.bud
YBL085W.cell periphery,YBL085W.bud
YBL103C.cytoplasm,YBL103C.nucleus
YBL105C.cytoplasm,YBL105C.bud neck
YBL105C.cytoplasm,YBL105C.bud
YBL105C.bud neck,YBL105C.bud
YBR001C.cytoplasm,YBR001C.mitochondrion
YBR011C.cytoplasm,YBR011C.nucleus
YBR017C.cytoplasm,YBR017C.nucleus
YBR034C.cytoplasm,YBR034C.nucleus
YBR055C.cytoplasm,YBR055C.nucleus
YBR058C.cytoplasm,YBR058C.nucleus
YBR059C.cytoplasm,YBR059C.bud neck
YBR059C.cytoplasm,YBR059C.cell periphery
YBR059C.bud neck,YBR059C.cell periphery
YBR060C.cytoplasm,YBR060C.nucleus
YBR066C.cytoplasm,YBR066C.nucleus
YBR080C.early Golgi,YBR080C.Golgi
YBR082C.cytoplasm,YBR082C.nucleus
YBR083W.cytoplasm,YBR083W.nucleus
YBR102C.bud neck,YBR102C.cell periphery
YBR102C.bud neck,YBR102C.bud
YBR102C.cell periphery,YBR102C.bud
YBR105C.cytoplasm,YBR105C.nucleus
YBR107C.nucleus,YBR107C.spindle pole
YBR109C.bud neck,YBR109C.cell periphery
YBR109C.bud neck,YBR109C.bud
YBR109C.cell periphery,YBR109C.bud
YBR114W.cytoplasm,YBR114W.nucleus
YBR130C.cytoplasm,YBR130C.cell periphery
YBR130C.cytoplasm,YBR130C.bud
YBR130C.cell periphery,YBR130C.bud
YBR133C.cytoplasm,YBR133C.bud neck
YBR135W.cytoplasm,YBR135W.nucleus
YBR142W.nucleus,YBR142W.nucleolus
YBR156C.nucleus,YBR156C.microtubule
YBR158W.cytoplasm,YBR158W.nucleus
YBR160W.cytoplasm,YBR160W.nucleus
YBR164C.early Golgi,YBR164C.punctate composite
YBR170C.cytoplasm,YBR170C.nucleus
YBR173C.cytoplasm,YBR173C.nucleus
YBR175W.cytoplasm,YBR175W.nucleus
YBR195C.cytoplasm,YBR195C.nucleus
