YAL002W,P39702,VPS8_YEAST,S000000002
YAL016C-B,P0C1V3,YA016_YEAST,S000028528
YAL055W,P39718,PEX22_YEAST,S000000051
YAL037C-A,Q3E741,YA037_YEAST,S000028732
YAL023C,P31382,PMT2_YEAST,S000000021
YAL033W,P28005,POP5_YEAST,S000000031
YAL044W-A,Q3E793,YA044_YEAST,S000007586
YAL063C-A,Q3E791,YA063_YEAST,S000028813
YAL032C,P28004,PRP45_YEAST,S000000030
YAL065C,O13511,YA065_YEAST,S000001817
YAL043C,Q01329,PTA1_YEAST,S000000041
YDR527W,Q04418,RBA50_YEAST,S000002935
YDR487C,Q99258,RIB3_YEAST,S000002895
YAL067W-A,Q8TGK6,YA067_YEAST,S000028593
YAL064C-A,Q6B2U8,YA64A_YEAST,S000002140
YGR085C,Q3E757,RL11B_YEAST,S000003317
YAL064W-B,O13512,YA64B_YEAST,S000002141
YAL004W,P39703,YAA4_YEAST,S000002136
YDR500C,P51402,RL37B_YEAST,S000002908
YIL148W,P14796,RL40_YEAST,S000001802
YAL018C,P31379,YAB8_YEAST,S000000016
YDL081C,P05318,RLA1_YEAST,S000002239
YBL038W,P38064,RM16_YEAST,S000000134
YAL019W,P31380,YAB9_YEAST,S000000017
YAL027W,P39735,YAC7_YEAST,S000000025
YGR076C,P23369,RM25_YEAST,S000003308
YAL031C,P39732,YAD1_YEAST,S000000029
YDR462W,P36527,RM28_YEAST,S000002870
YML009C,P36533,RM39_YEAST,S000004468
YAL034C,P28003,YAD4_YEAST,S000002134
YNR022C,P53724,RM50_YEAST,S000005305
YAL036C,P39729,YAD6_YEAST,S000000034
Q0140,P02381,RMAR_YEAST,S000007275
YDL001W,Q03441,RMD1_YEAST,S000002159
YAL037W,P39728,YAD7_YEAST,S000000035
YPL024W,Q02685,RMI1_YEAST,S000005945
YAL045C,P39725,YAE5_YEAST,S000000043
YLR145W,Q12530,RMP1_YEAST,S000004135
YDR478W,P40993,RMRP_YEAST,S000002886
YAL046C,P39724,YAE6_YEAST,S000000044
YDR465C,Q03305,RMT2_YEAST,S000002873
YAR035C-A,Q8TGV0,YA035_YEAST,S000028595
YAR075W,O42831,YA075_YEAST,S000002145
YAR020C,P39545,PAU7_YEAST,S000000073
YAR023C,P39546,YAJ3_YEAST,S000000074
YAR028W,P39548,YAJ8_YEAST,S000000076
YBL005W,P33200,PDR3_YEAST,S000000101
YAR029W,P39549,YAJ9_YEAST,S000000077
YBL017C,P32319,PEP1_YEAST,S000000113
YAR030C,P39550,YAK0_YEAST,S000001821
YBL051C,P34217,PIN4_YEAST,S000000147
YBL018C,P38208,POP8_YEAST,S000000114
YAR047C,P39557,YAL7_YEAST,S000000083
YBL056W,P34221,PP2C3_YEAST,S000000152
YAR053W,P39559,YAM3_YEAST,S000000085
YBL046W,P38193,PP4R2_YEAST,S000000142
YAR071W,P35842,PPAB_YEAST,S000000094
YAR031W,P39551,PRM9_YEAST,S000000078
YBL041W,P23724,PSB1_YEAST,S000000137
YBL057C,P34222,PTH2_YEAST,S000000153
YAR064W,P39563,YAN4_YEAST,S000000089
YAR015W,P27616,PUR7_YEAST,S000000070
YAR068W,P39564,YAN8_YEAST,S000000091
YAR007C,P22336,RFA1_YEAST,S000000065
YBL020W,P38206,RFT1_YEAST,S000000116
YAR070C,P39566,YAO0_YEAST,S000000093
YBL008W-A,Q3E821,YB008_YEAST,S000028529
YBL029C-A,Q3E756,YB029_YEAST,S000007591
YBL039W-B,P0C268,YB39B_YEAST,S000028517
YBL004W,P35194,YBA4_YEAST,S000000100
YBL100W-C,P0C269,YB00C_YEAST,S000028598
YBL059C-A,Q3E7A4,YB059_YEAST,S000007488
YBL071C-B,Q8TGU8,YB071_YEAST,S000028597
YBL108C-A,Q3E770,PAU9_YEAST,S000007592
YBL064C,P34227,PRX1_YEAST,S000000160
YBL111C,Q3E7Y5,YB111_YEAST,S000002151
YBR005W,P38212,RCR1_YEAST,S000000209
YBL112C,Q3E7Y4,YB112_YEAST,S000002152
YBR002C,P35196,RER2_YEAST,S000000206
YBL113C,Q7M4S9,YB113_YEAST,S000002153
YBL059W,P34224,YBF9_YEAST,S000000155
YBL092W,P38061,RL32_YEAST,S000000188
YBL060W,P34225,YBG0_YEAST,S000000156
YBR031W,P10664,RL4A_YEAST,S000000235
YBL062W,P38189,YBG2_YEAST,S000000158
YGR070W,P53046,ROM1_YEAST,S000003302
YBL065W,P38188,YBG5_YEAST,S000000161
YOR116C,P04051,RPC1_YEAST,S000005642
YBL070C,P38186,YBH0_YEAST,S000000166
YNR003C,P32910,RPC6_YEAST,S000005286
YBL071C,P38185,YBH1_YEAST,S000000167
YBL073W,P38184,YBH3_YEAST,S000000169
YBL077W,P38183,YBH7_YEAST,S000000173
YNL330C,P32561,RPD3_YEAST,S000005274
YBL081W,P38180,YBI1_YEAST,S000000177
YOR095C,Q12189,RPIA_YEAST,S000005621
YFR052W,P32496,RPN12_YEAST,S000001948
YBL083C,P38178,YBI3_YEAST,S000000179
YLR421C,O13563,RPN13_YEAST,S000004413
YBL086C,P38177,YBI6_YEAST,S000000182
YDL020C,Q03465,RPN4_YEAST,S000002178
YDL097C,Q12377,RPN6_YEAST,S000002255
YBL090W,P38175,YBJ0_YEAST,S000000186
YBL025W,P38204,RRN10_YEAST,S000000121
YBL094C,P38173,YBJ4_YEAST,S000000190
YBL014C,P32786,RRN6_YEAST,S000000110
YBR072C-A,Q3E794,YB072_YEAST,S000028532
YBR088C,P15873,PCNA_YEAST,S000000292
YBR085C-A,O43137,YB085_YEAST,S000007522
YBR035C,P38075,PDX3_YEAST,S000000239
YBR106W,P38264,PHO88_YEAST,S000000310
YBR042C,P38226,YB42_YEAST,S000000246
YBR033W,P38073,YBO3_YEAST,S000000237
YBR043C,P38227,YBP3_YEAST,S000000247
YBR047W,P38231,YBP7_YEAST,S000000251
YBR092C,P24031,PPA3_YEAST,S000000296
YBR051W,P38233,YBQ1_YEAST,S000000255
YBR093C,P00635,PPA5_YEAST,S000000297
YBR052C,P38234,YBQ2_YEAST,S000000256
YBR053C,P38235,YBQ3_YEAST,S000000257
YBR055C,P19735,PRP6_YEAST,S000000259
YBR056W,P38081,YBQ6_YEAST,S000000260
YBR046C,P38230,QOR_YEAST,S000000250
YBR062C,P38239,YBR2_YEAST,S000000266
YBR114W,P31244,RAD16_YEAST,S000000318
YBR063C,P38083,YBR3_YEAST,S000000267
YBR064W,P38240,YBR4_YEAST,S000000268
YBR071W,P38243,YBS1_YEAST,S000000275
YBR073W,P38086,RDH54_YEAST,S000000277
YBR049C,P21538,REB1_YEAST,S000000253
YBR077C,P38247,YBS7_YEAST,S000000281
YBR089W,P38252,YBT9_YEAST,S000000293
YBR090C,P38253,YBU0_YEAST,S000000294
YBR050C,P38232,REG2_YEAST,S000000254
YBR094W,P38254,YBU4_YEAST,S000000298
YBR096W,P38256,YBU6_YEAST,S000000300
YBR087W,P38251,RFC5_YEAST,S000000291
YBR099C,P38258,YBU9_YEAST,S000000303
YBR101C,P38260,YBV1_YEAST,S000000305
YBR108W,P38266,YBV8_YEAST,S000000312
YPL012W,Q12754,RRP12_YEAST,S000005933
YBR113W,P38267,YBW3_YEAST,S000000317
YPR143W,Q06511,RRP15_YEAST,S000006347
YBR150C,P38114,YB00_YEAST,S000000354
YBR151W,P38281,YB01_YEAST,S000000355
YBR152W,P38282,YB02_YEAST,S000000356
YBR176W,P38122,PANB_YEAST,S000000380
YBR158W,P38285,YB08_YEAST,S000000362
YBR186W,P38126,PCH2_YEAST,S000000390
YBR168W,P38292,PEX32_YEAST,S000000372
YBR159W,P38286,YB09_YEAST,S000000363
YBR167C,P38291,POP7_YEAST,S000000371
YBR125C,P38089,PP2C4_YEAST,S000000329
YBR163W,P38289,YB13_YEAST,S000000367
YBR182C-A,Q8TGU6,YB182_YEAST,S000028603
YBR153W,P33312,RIB7_YEAST,S000000357
YBR200W-A,Q3E755,YB200_YEAST,S000028535
YBR192W,P38127,RIM2_YEAST,S000000396
YBR201C-A,Q2V2Q3,YB201_YEAST,S000087085
YBR191W,Q02753,RL21A_YEAST,S000000395
YBR174C,P38294,YB24_YEAST,S000000378
YBR177C,P38295,YB27_YEAST,S000000381
YBR178W,P38296,YB28_YEAST,S000000382
YBR122C,P36531,RM36_YEAST,S000000326
YBR180W,P38125,YB30_YEAST,S000000384
YBR184W,P38299,YB34_YEAST,S000000388
YBR187W,P38301,YB37_YEAST,S000000391
YBR190W,P38303,YB40_YEAST,S000000394
YBR154C,P20434,RPB5_YEAST,S000000358
YBR194W,P38305,YB44_YEAST,S000000398
YBR197C,P38306,YB47_YEAST,S000000401
YGR095C,P53256,RRP46_YEAST,S000003327
YBR203W,P38308,YB53_YEAST,S000000407
YBR204C,P38139,YB54_YEAST,S000000408
YBR206W,P38309,YB56_YEAST,S000000410
YBR279W,P38351,PAF1_YEAST,S000000483
YBR221W-A,Q3E781,YB221_YEAST,S000028817
YBR233W,P38151,PBP2_YEAST,S000000437
YBR257W,P38336,POP4_YEAST,S000000461
YBR230W-A,Q3E762,YB230_YEAST,S000029722
YBR276C,P38148,PPS1_YEAST,S000000480
YBR255C-A,Q3E776,YB255_YEAST,S000007649
YBR237W,P21372,PRP5_YEAST,S000000441
YBR209W,P38311,YB59_YEAST,S000000413
YBR218C,P32327,PYC2_YEAST,S000000422
YBR214W,P38314,YB64_YEAST,S000000418
YBR219C,P38317,YB69_YEAST,S000000423
YBR267W,P38344,REI1_YEAST,S000000471
YBR220C,P38318,YB70_YEAST,S000000424
YBR260C,P38339,RGD1_YEAST,S000000464
YBR224W,P38320,YB74_YEAST,S000000428
YBR275C,P29539,RIF1_YEAST,S000000479
YBR256C,P38145,RISA_YEAST,S000000460
YBR225W,P38321,YB75_YEAST,S000000429
YBR282W,P36526,RM27_YEAST,S000000486
YBR226C,P38322,YB76_YEAST,S000000430
YBR230C,P38325,YB80_YEAST,S000000434
YBR232C,P38327,YB82_YEAST,S000000436
YBR268W,P36532,RM37_YEAST,S000000472
YBR235W,P38329,YB85_YEAST,S000000439
YBR238C,P38330,YB88_YEAST,S000000442
YBR239C,P38140,YB89_YEAST,S000000443
YML024W,P02407,RS17A_YEAST,S000004486
YBR285W,P38354,YB8A_YEAST,S000000489
YBR287W,P38355,YB8B_YEAST,S000000491
YDR447C,P14127,RS17B_YEAST,S000002855
YBR292C,P38357,YB8F_YEAST,S000000496
YBR241C,P38142,YB91_YEAST,S000000445
YBR242W,P38331,YB92_YEAST,S000000446
YBR246W,P38332,YB96_YEAST,S000000450
YBR250W,P33757,YB9A_YEAST,S000000454
YBR296C-A,Q8TGU5,YB296_YEAST,S000028605
YCL052C,P25580,PBN1_YEAST,S000000557
YCL043C,P17967,PDI_YEAST,S000000548
YBR298C-A,Q8TGK4,YB298_YEAST,S000028606
YBR300C,P38362,YB8J_YEAST,S000000504
YCL001W-A,P87012,YC01A_YEAST,S000007221
YCL001W-B,Q96VH2,YC01B_YEAST,S000007596
YBR296C,P38361,PHO89_YEAST,S000000500
YCL021W-A,Q96VH3,YC021_YEAST,S000007549
YCL057W,P25375,PRTD_YEAST,S000000562
YCL001W,P25560,RER1_YEAST,S000000507
YCL026C-B,Q96VH4,YC026_YEAST,S000007548
YCR003W,P25348,RM32_YEAST,S000000596
YCL028W,P25367,RNQ1_YEAST,S000000533
YCL048W-A,Q2V2Q2,YC048_YEAST,S000087203
YCL031C,P25368,RRP7_YEAST,S000000536
YCL058W-A,Q2V2Q1,YC058_YEAST,S000028518
YCL002C,P25565,YCA2_YEAST,S000000508
YCL012C,Q8J0M4,YCB2_YEAST,S000029705
YNL302C,P07281,RS19B_YEAST,S000005246
YCL019W,P25384,YCB9_YEAST,S000000524
YJL136C,Q3E754,RS21B_YEAST,S000003672
YCL020W,P25383,YCC0_YEAST,S000000525
YCL021W,P25561,YCC1_YEAST,S000000526
YCL022C,P25562,YCC2_YEAST,S000000527
YCL023C,P25563,YCC3_YEAST,S000000528
YKL156W,P35997,RS27A_YEAST,S000001639
YCL033C,P25566,YCD3_YEAST,S000000538
YOR167C,Q3E7X9,RS28A_YEAST,S000005693
YCR075W-A,Q3E830,YC075_YEAST,S000028519
YCR077C,P25644,PAT1_YEAST,S000000673
YCR095W-A,Q3E787,YC095_YEAST,S000029724
YCR044C,P25625,PER1_YEAST,S000000640
YCR087C-A,P37263,YC16_YEAST,S000007223
YCR020C,P25362,PET18_YEAST,S000000613
YCR024C-B,Q3E7Z8,YC204_YEAST,S000028818
YCR010C,P25613,YCQ0_YEAST,S000000603
YCR013C,P25614,YCQ3_YEAST,S000000606
YCR012W,P00560,PGK_YEAST,S000000605
YCR015C,P25616,YCQ5_YEAST,S000000608
YCR016W,P25617,YCQ6_YEAST,S000000609
YCR037C,P25360,PHO87_YEAST,S000000633
YCR022C,P25620,YCR2_YEAST,S000000616
YCR023C,P25351,YCR3_YEAST,S000000617
YCR024C-A,P32903,PMP1_YEAST,S000000619
YCR025C,P25352,YCR5_YEAST,S000000620
YCR057C,P25635,PWP2_YEAST,S000000653
YCR026C,P25353,YCR6_YEAST,S000000621
YCR066W,P10862,RAD18_YEAST,S000000662
YCR041W,P37265,YCT1_YEAST,S000000637
YCR043C,P25361,YCT3_YEAST,S000000639
YCR036W,P25332,RBSK_YEAST,S000000632
YCR045C,P25381,YCT5_YEAST,S000000641
YCR049C,P25629,YCT9_YEAST,S000000645
YCR027C,P25378,RHEB_YEAST,S000000622
YCR050C,P25630,YCU0_YEAST,S000000646
YCR028C-A,P32445,RIM1_YEAST,S000007222
YCR051W,P25631,YCU1_YEAST,S000000647
YCR054C,P25355,YCU4_YEAST,S000000650
YCR059C,P25637,YCU9_YEAST,S000000655
YCR035C,P25359,RRP43_YEAST,S000000631
YCR031C,P06367,RS14A_YEAST,S000000627
YDL061C,P41058,RS29B_YEAST,S000002219
YGL123W,P25443,RS2_YEAST,S000003091
YCR096C,Q6B184,MATA2_YEAST,S000000692
YCR097W,P01366,MATA1_YEAST,S000000694
YCR108C,Q3E819,YC108_YEAST,S000028536
YDL019C,Q12451,OSH2_YEAST,S000002177
YCR101C,P25607,YCZ1_YEAST,S000000698
YCR104W,P25610,PAU3_YEAST,S000000701
YCR102C,P25608,YCZ2_YEAST,S000000699
YCR106W,P25611,YCZ6_YEAST,S000000703
YDL053C,Q07362,PBP4_YEAST,S000002211
YDL065C,Q07418,PEX19_YEAST,S000002223
YDL007C-A,Q2V2Q0,YD007_YEAST,S000113557
YDL052C,P33333,PLSC_YEAST,S000002210
YDL010W,Q12438,YD010_YEAST,S000002168
YDL012C,Q12489,YD012_YEAST,S000002170
YDL027C,Q07349,YD027_YEAST,S000002185
YDL021W,Q12008,PMG2_YEAST,S000002179
