Actinium,Ac ,7Act ,20 ,f ,89 ,[227] ,1.88 ,2.00
Silver,Ag ,5 ,11 ,d ,47 ,107.868 ,1.59 ,1.72
Aluminium,Al ,3 ,13 ,p ,13 ,26.982 ,1.35 ,2.00
Americium,Am ,7Act ,20 ,f ,95 ,[243] ,1.51 ,2.00
Argon,Ar ,3 ,18 ,p ,18 ,39.948 ,1.51 ,1.88
Arsenic,As ,4 ,15 ,p ,33 ,74.922 ,1.21 ,1.85
Astatine,At ,6 ,17 ,p ,85 ,[210] ,1.21 ,2.00
Gold,Au ,6 ,11 ,d ,79 ,196.967 ,1.50 ,1.66
Boron,B ,2 ,13 ,p ,5 ,10.811 ,0.83 ,2.00
Barium,Ba ,6 ,2 ,s ,56 ,137.327 ,1.34 ,2.00
Beryllium,Be ,2 ,2 ,s ,4 ,9.012 ,0.35 ,2.00
Bohrium,Bh ,7 ,7 ,d ,107 ,[264] ,1.50 ,2.00
Bismuth,Bi ,6 ,15 ,p ,83 ,208.980 ,1.54 ,2.00
Berkelium,Bk ,7Act ,20 ,f ,97 ,[247] ,1.54 ,2.00
Bromine,Br ,4 ,17 ,p ,35 ,79.904 ,1.21 ,1.85
Carbon,C ,2 ,14 ,p ,6 ,12.011 ,0.68 ,1.70
Calcium,Ca ,4 ,2 ,s ,20 ,40.078 ,0.99 ,2.00
Cadmium,Cd ,5 ,12 ,d ,48 ,112.411 ,1.69 ,1.58
Cerium,Ce ,6Lan ,19 ,f ,58 ,140.116 ,1.83 ,2.00
Californium,Cf ,7Act ,20 ,f ,98 ,[251] ,1.83 ,2.00
Chlorine,Cl ,3 ,17 ,p ,17 ,35.453 ,0.99 ,1.75
Curium,Cm ,7Act ,20 ,f ,96 ,[247] ,0.99 ,2.00
Cobalt,Co ,4 ,9 ,d ,27 ,58.933 ,1.33 ,2.00
Chromium,Cr ,4 ,6 ,d ,24 ,51.996 ,1.35 ,2.00
