_group1.cytoplasm,_group1.nucleus
_group1.nucleus,_group1.nucleolus
_group1.nucleolus,_group1.unknown
_group10.cytoplasm,_group10.nucleus
_group10.nucleus,_group10.punctate composite
_group10.punctate composite,_group10.nuclear periphery
_group1002.cytoplasm,_group1002.nucleus
_group1013.cytoplasm,_group1013.nucleus
_group1013.nucleus,_group1013.punctate composite
_group1013.punctate composite,_group1013.unknown
_group1019.nucleus,_group1019.unknown
_group1022.cytoplasm,_group1022.nuclear periphery
_group1025.cytoplasm,_group1025.nucleus
_group1025.nucleus,_group1025.unknown
_group1027.cytoplasm,_group1027.punctate composite
_group1027.punctate composite,_group1027.unknown
_group1028.cytoplasm,_group1028.punctate composite
_group1028.punctate composite,_group1028.vacuolar membrane
_group1028.vacuolar membrane,_group1028.vacuole
_group1028.vacuole,_group1028.unknown
_group1029.nucleus,_group1029.nucleolus
_group1030.ER,_group1030.unknown
_group1033.cytoplasm,_group1033.bud neck
_group1033.bud neck,_group1033.bud
_group1036.bud neck,_group1036.cell periphery
_group1036.cell periphery,_group1036.bud
_group1037.cytoplasm,_group1037.nucleus
_group1042.cytoplasm,_group1042.bud neck
_group1042.bud neck,_group1042.bud
_group1042.bud,_group1042.vacuole
_group1049.mitochondrion,_group1049.unknown
_group1051.punctate composite,_group1051.peroxisome
_group1065.cytoplasm,_group1065.ER
_group1065.ER,_group1065.vacuole
_group1065.vacuole,_group1065.unknown
_group1106.cytoplasm,_group1106.nucleus
_group1106.nucleus,_group1106.mitochondrion
_group1106.mitochondrion,_group1106.bud neck
_group1106.bud neck,_group1106.cell periphery
_group1106.cell periphery,_group1106.bud
_group1106.bud,_group1106.spindle pole
_group1106.spindle pole,_group1106.punctate composite
_group1106.punctate composite,_group1106.nuclear periphery
_group1106.nuclear periphery,_group1106.vacuole
_group1106.vacuole,_group1106.microtubule
_group1106.microtubule,_group1106.lipid particle
_group1106.lipid particle,_group1106.unknown
_group1144.cytoplasm,_group1144.mitochondrion
_group1144.mitochondrion,_group1144.vacuolar membrane
_group1144.vacuolar membrane,_group1144.actin
_group1161.cytoplasm,_group1161.mitochondrion
_group1161.mitochondrion,_group1161.unknown
_group1162.cytoplasm,_group1162.nucleus
_group1163.cytoplasm,_group1163.nucleus
_group1163.nucleus,_group1163.ER
_group12.cytoplasm,_group12.nucleus
_group12.nucleus,_group12.mitochondrion
_group12.mitochondrion,_group12.nuclear periphery
_group12.nuclear periphery,_group12.unknown
_group120.cytoplasm,_group120.nucleus
_group148.cytoplasm,_group148.nucleus
_group148.nucleus,_group148.ER
_group148.ER,_group148.cell periphery
_group148.cell periphery,_group148.unknown
_group153.ER,_group153.vacuole
_group153.vacuole,_group153.lipid particle
_group166.cytoplasm,_group166.nucleus
_group169.cytoplasm,_group169.mitochondrion
_group169.mitochondrion,_group169.bud neck
_group169.bud neck,_group169.spindle pole
_group169.spindle pole,_group169.nuclear periphery
_group169.nuclear periphery,_group169.unknown
_group170.cytoplasm,_group170.nucleus
_group182.cytoplasm,_group182.nucleus
_group182.nucleus,_group182.unknown
_group183.cytoplasm,_group183.nucleus
_group183.nucleus,_group183.bud neck
_group183.bud neck,_group183.unknown
_group189.cytoplasm,_group189.nucleus
_group189.nucleus,_group189.nuclear periphery
_group198.cytoplasm,_group198.nucleus
_group222.cytoplasm,_group222.unknown
_group228.cytoplasm,_group228.nucleus
_group228.nucleus,_group228.endosome
_group228.endosome,_group228.bud neck
_group228.bud neck,_group228.cell periphery
_group228.cell periphery,_group228.bud
_group228.bud,_group228.punctate composite
_group228.punctate composite,_group228.vacuole
_group228.vacuole,_group228.lipid particle
_group228.lipid particle,_group228.unknown
_group232.cytoplasm,_group232.nucleus
_group233.cytoplasm,_group233.nucleus
_group240.cytoplasm,_group240.nucleus
_group240.nucleus,_group240.ER
_group240.ER,_group240.vacuole
_group240.vacuole,_group240.unknown
_group242.cytoplasm,_group242.unknown
_group253.cytoplasm,_group253.nucleus
_group257.cytoplasm,_group257.nucleus
_group260.cytoplasm,_group260.nucleus
_group260.nucleus,_group260.unknown
_group263.cytoplasm,_group263.nucleus
_group269.cytoplasm,_group269.nucleus
_group269.nucleus,_group269.mitochondrion
_group28.cytoplasm,_group28.endosome
_group28.endosome,_group28.ER
_group28.ER,_group28.early Golgi
_group28.early Golgi,_group28.late Golgi
_group28.late Golgi,_group28.punctate composite
_group28.punctate composite,_group28.Golgi
_group28.Golgi,_group28.unknown
_group296.mitochondrion,_group296.unknown
_group297.cytoplasm,_group297.nucleus
_group297.nucleus,_group297.mitochondrion
_group298.cytoplasm,_group298.nucleus
_group299.cytoplasm,_group299.nucleus
_group299.nucleus,_group299.unknown
_group3.cytoplasm,_group3.nucleus
_group3.nucleus,_group3.bud neck
_group3.bud neck,_group3.cell periphery
_group3.cell periphery,_group3.bud
_group3.bud,_group3.spindle pole
_group3.spindle pole,_group3.punctate composite
_group3.punctate composite,_group3.vacuole
_group3.vacuole,_group3.unknown
_group309.nucleus,_group309.nucleolus
_group309.nucleolus,_group309.unknown
_group31.cytoplasm,_group31.punctate composite
_group31.punctate composite,_group31.vacuolar membrane
_group31.vacuolar membrane,_group31.unknown
_group317.cytoplasm,_group317.nucleus
_group317.nucleus,_group317.unknown
_group322.cytoplasm,_group322.nucleus
_group322.nucleus,_group322.nucleolus
_group332.nucleus,_group332.unknown
_group340.cytoplasm,_group340.nucleus
_group341.cytoplasm,_group341.nucleus
_group350.cytoplasm,_group350.unknown
_group361.cytoplasm,_group361.mitochondrion
_group365.cytoplasm,_group365.nucleus
_group367.cytoplasm,_group367.nucleus
_group369.cytoplasm,_group369.nucleolus
_group377.nucleus,_group377.nucleolus
_group377.nucleolus,_group377.microtubule
_group379.bud neck,_group379.cell periphery
_group379.cell periphery,_group379.bud
_group379.bud,_group379.actin
_group379.actin,_group379.unknown
_group388.cytoplasm,_group388.nucleus
_group388.nucleus,_group388.unknown
_group391.cytoplasm,_group391.late Golgi
_group392.vacuolar membrane,_group392.vacuole
_group395.cytoplasm,_group395.nucleus
_group397.cytoplasm,_group397.nucleus
_group397.nucleus,_group397.unknown
_group399.cytoplasm,_group399.nucleus
_group399.nucleus,_group399.nucleolus
_group403.cytoplasm,_group403.nucleus
_group403.nucleus,_group403.unknown
_group404.cytoplasm,_group404.nucleus
_group406.cytoplasm,_group406.nucleus
_group407.mitochondrion,_group407.unknown
_group419.cytoplasm,_group419.bud neck
_group419.bud neck,_group419.bud
_group452.cytoplasm,_group452.nucleolus
_group455.cytoplasm,_group455.nucleus
_group458.cytoplasm,_group458.late Golgi
_group458.late Golgi,_group458.unknown
_group463.mitochondrion,_group463.unknown
_group464.cytoplasm,_group464.bud neck
_group467.mitochondrion,_group467.unknown
_group468.cytoplasm,_group468.nucleus
_group468.nucleus,_group468.mitochondrion
_group468.mitochondrion,_group468.late Golgi
_group468.late Golgi,_group468.bud neck
_group468.bud neck,_group468.bud
_group468.bud,_group468.punctate composite
_group468.punctate composite,_group468.unknown
_group469.cytoplasm,_group469.nucleus
_group469.nucleus,_group469.bud neck
_group469.bud neck,_group469.bud
_group479.cytoplasm,_group479.nucleus
_group479.nucleus,_group479.bud neck
_group479.bud neck,_group479.cell periphery
_group479.cell periphery,_group479.nuclear periphery
_group479.nuclear periphery,_group479.unknown
_group482.cytoplasm,_group482.nucleus
_group482.nucleus,_group482.unknown
_group487.cytoplasm,_group487.nucleus
_group487.nucleus,_group487.ER
_group487.ER,_group487.unknown
_group492.cytoplasm,_group492.nucleus
_group492.nucleus,_group492.vacuole
_group492.vacuole,_group492.actin
