P40509,COPE_YEAST,YIL076W,Coatomer subunit epsilon,SEC28,ANU2
P40530,PDK_YEAST,YIL042C,[Pyruvate dehydrogenase [lipoamide]] kinase, mitochondrial precursor,PKP1,
P40495,LYS12_YEAST,YIL094C,Homoisocitrate dehydrogenase, mitochondrial precursor,LYS12,LYS10;LYS11
P40494,PRK1_YEAST,YIL095W,Actin-regulating kinase PRK1,PRK1,PAK1
P40187,PIG2_YEAST,YIL045W,GSY2-interacting protein PIG2,PIG2,
P08019,AMYG_YEAST,YIL099W,Glucoamylase, intracellular sporulation-specific,SGA1,SGA
P40487,DPH1_YEAST,YIL103W,Diphthamide biosynthesis protein 1,DPH1,KIF48
P40485,SLM1_YEAST,YIL105C,Phosphatidylinositol 4,5-bisphosphate-binding protein SLM1,SLM1,LIT2
P40482,SEC24_YEAST,YIL109C,Protein transport protein SEC24,SEC24,ANU1
P40528,SYG1_YEAST,YIL047C,Protein SYG1,SYG1,
P40527,ATC7_YEAST,YIL048W,Probable phospholipid-transporting ATPase NEO1,NEO1,
P40478,VDAC2_YEAST,YIL114C,Outer mitochondrial membrane protein porin 2,POR2,YVDAC2
P40477,NU159_YEAST,YIL115C,Nucleoporin NUP159,NUP159,NUP158;RAT7
P40526,DFG10_YEAST,YIL049W,Protein DFG10,DFG10,
P40525,RL34B_YEAST,YIL052C,60S ribosomal protein L34-B,RPL34B,
Q00916,RU17_YEAST,YIL061C,U1 small nuclear ribonucleoprotein 70 kDa homolog,SNP1,
P40518,ARPC5_YEAST,YIL062C,ARP2/3 complex 16 kDa subunit,ARC15,
P40517,YRB2_YEAST,YIL063C,Ran-specific GTPase-activating protein 2,YRB2,
P40472,SIM1_YEAST,YIL123W,Protein SIM1 precursor,SIM1,PBP3
P20967,ODO1_YEAST,YIL125W,2-oxoglutarate dehydrogenase E1 component, mitochondrial precursor,KGD1,OGD1
P32597,STH1_YEAST,YIL126W,Nuclear protein STH1/NPS1,STH1,NPS1
P40469,MET18_YEAST,YIL128W,DNA repair/transcription protein MET18/MMS19,MET18,MMS19
P40468,TAO3_YEAST,YIL129C,Cell morphogenesis protein PAG1,TAO3,PAG1
P40471,AYR1_YEAST,YIL124W,NADPH-dependent 1-acyldihydroxyacetone phosphate reductase,AYR1,
P40466,FKH1_YEAST,YIL131C,Fork head protein homolog 1,FKH1,
P26784,RL16A_YEAST,YIL133C,60S ribosomal protein L16-A,RPL16A,RPL13;RPL13A
P40464,FLX1_YEAST,YIL134W,Mitochondrial FAD carrier protein FLX1,FLX1,
P38928,AXL2_YEAST,YIL140W,Protein AXL2 precursor,AXL2,BUD10;SRO4
P39076,TCPB_YEAST,YIL142W,T-complex protein 1 subunit beta,CCT2,BIN3;TCP2
P40460,NDC80_YEAST,YIL144W,Kinetochore protein NDC80,TID3,HEC1;NDC80
P39928,SLN1_YEAST,YIL147C,Osmosensing histidine protein kinase SLN1,SLN1,YPD2
P40454,PTPA1_YEAST,YIL153W,Serine/threonine-protein phosphatase 2A activator 1,RRD1,NCS1;YPA1
P40463,VHS2_YEAST,YIL135C,Protein VHS2,VHS2,
P16547,OM45_YEAST,YIL136W,Mitochondrial outer membrane 45 kDa protein,OM45,
P40561,SGN1_YEAST,YIR001C,RNA-binding protein SGN1,SGN1,RBP1;RBP29
P40414,TPM2_YEAST,YIL138C,Tropomyosin-2,TPM2,
P38927,REV7_YEAST,YIL139C,Protein REV7,REV7,
P40565,IST3_YEAST,YIR005W,U2 snRNP component IST3,IST3,SNU17
P32521,PAN1_YEAST,YIR006C,Protein PAN1,PAN1,DIM2;MDP3;MIP3
P40567,MSL1_YEAST,YIR009W,U2 small nuclear ribonucleoprotein B'',MSL1,YIB9;YIB9w
P08640,MUC1_YEAST,YIR019C,Mucin-like protein 1 precursor,MUC1,FLO11;MAL5;STA1;STA2;STA4
P07266,MRS1_YEAST,YIR021W,Mitochondrial RNA-splicing protein MRS1,MRS1,PET157
P21657,DAL81_YEAST,YIR023W,Transcriptional activator protein DAL81,DAL81,DURL;UGA35
P25335,ALLC_YEAST,YIR029W,Allantoicase,DAL2,ALC1
P40459,PANC_YEAST,YIL145C,Pantoate--beta-alanine ligase,PAN6,
P32459,ALLA_YEAST,YIR032C,Ureidoglycolate hydrolase,DAL3,
P40581,GPX3_YEAST,YIR037W,Peroxiredoxin HYR1,HYR1,GPX3;ORP1
P38624,PSB6_YEAST,YJL001W,Proteasome component PRE3 precursor,PRE3,CRL21
P41543,OST1_YEAST,YJL002C,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST1 precursor,OST1,NLT1
P40578,MGA2_YEAST,YIR033W,Protein MGA2,MGA2,
P08678,CYAA_YEAST,YJL005W,Adenylate cyclase,CYR1,CDC35;FIL1;HSR1;SRA4;TSM0185
P38998,LYS1_YEAST,YIR034C,Saccharopine dehydrogenase [NAD+, L-lysine-forming],LYS1,
P40582,GST1_YEAST,YIR038C,Glutathione S-transferase I,GTT1,
P47068,BBC1_YEAST,YJL021C,Myosin tail region-interacting protein MTI1,BBC1,MTI1;YJL021C
P47068,BBC1_YEAST,YJL020C,Myosin tail region-interacting protein MTI1,BBC1,MTI1;YJL021C
P47064,AP3S_YEAST,YJL024C,AP-3 complex subunit sigma,APS3,YKS7
P09938,RIR2_YEAST,YJL026W,Ribonucleoside-diphosphate reductase small chain 1,RNR2,CRT6
P16474,GRP78_YEAST,YJL034W,78 kDa glucose-regulated protein homolog precursor,KAR2,GRP78;SSD1
P47057,SNX4_YEAST,YJL036W,Sorting nexin-4,SNX4,ATG24;CVT13
P40583,YPS6_YEAST,YIR039C,Aspartic proteinase yapsin-6 precursor,YPS6,
P47049,UBX6_YEAST,YJL048C,UBX domain-containing protein 6,UBX6,CUI2
P47047,MTR4_YEAST,YJL050W,ATP-dependent RNA helicase DOB1,MTR4,DOB1
P00360,G3P1_YEAST,YJL052W,Glyceraldehyde-3-phosphate dehydrogenase 1,TDH1,GLD3;GPD1;SSS2
P47043,ZAP1_YEAST,YJL056C,Zinc-responsive transcriptional regulator ZAP1,ZAP1,ZRG10
P40585,PAU15_YEAST,YIR041W,Seripauperin-15 precursor,PAU15,
P47040,BTN1_YEAST,YJL059W,Protein BTN1 precursor,YHC3,BTN1
P40368,NUP82_YEAST,YJL061W,Nucleoporin NUP82,NUP82,HRB187
P40367,GPI7_YEAST,YJL062W,GPI ethanolamine phosphate transferase 2 precursor,LAS21,GPI7
P22353,RM08_YEAST,YJL063C,Mitochondrial 60S ribosomal protein L8,MRPL8,HRD238
P41544,SYS1_YEAST,YJL004C,Protein SYS1,SYS1,
P46962,CTK2_YEAST,YJL006C,CTD kinase subunit beta,CTK2,
P40359,PSF2_YEAST,YJL072C,DNA replication complex GINS protein PSF2,PSF2,CDC102
P40358,JEM1_YEAST,YJL073W,DnaJ-like chaperone JEM1 precursor,JEM1,KAR8
P47079,TCPQ_YEAST,YJL008C,T-complex protein 1 subunit theta,CCT8,
P47074,MAD3_YEAST,YJL013C,Spindle assembly checkpoint component MAD3,MAD3,
P47037,SMC3_YEAST,YJL074C,Structural maintenance of chromosomes protein 3,SMC3,
P47035,NET1_YEAST,YJL076W,Nucleolar protein NET1,NET1,CFI1;ESC5;SRM8
P47033,PRY3_YEAST,YJL078C,Protein PRY3,PRY3,
P06105,SC160_YEAST,YJL080C,Protein SCP160,SCP160,HX
P80428,ARP4_YEAST,YJL081C,Actin-like protein 4,ARP4,ACT3
P47032,PRY1_YEAST,YJL079C,Protein PRY1 precursor,PRY1,
P19658,EXO70_YEAST,YJL085W,Exocyst complex component EXO70,EXO70,
P05150,OTC_YEAST,YJL088W,Ornithine carbamoyltransferase,ARG3,
P09880,TRNL_YEAST,YJL087C,tRNA ligase,TRL1,LIG1;RLG1
P12954,SRS2_YEAST,YJL092W,ATP-dependent DNA helicase SRS2,SRS2,HPR5;RADH;RADH1
P40310,TOK1_YEAST,YJL093C,Outward-rectifier potassium channel TOK1,TOK1,DUK1;YKC1;YORK;YPK1
Q01389,BCK1_YEAST,YJL095W,Serine/threonine-protein kinase BCK1/SLK1/SSP31,BCK1,LAS3;SAP3;SLK1;SSP31
P40955,CHS6_YEAST,YJL099W,Chitin biosynthesis protein CHS6,CHS6,CSD3
P46954,SIP4_YEAST,YJL089W,Protein SIP4,SIP4,
P42949,TIM16_YEAST,YJL104W,Mitochondrial import inner membrane translocase subunit TIM16,PAM16,MIA1;TIM16
P32581,IME2_YEAST,YJL106W,Meiosis induction protein kinase IME2/SME1,IME2,SME1
P42944,GZF3_YEAST,YJL110C,Protein GZF3,GZF3,DEH1;NIL2
P42943,TCPH_YEAST,YJL111W,T-complex protein 1 subunit eta,CCT7,TCP7
P47025,MDV1_YEAST,YJL112W,Mitochondrial division protein 1,MDV1,FIS2;GAG3;NET2
P32447,ASF1_YEAST,YJL115W,Anti-silencing protein 1,ASF1,CIA1
P46969,RPE_YEAST,YJL121C,Ribulose-phosphate 3-epimerase,RPE1,EPI1;POS18
P47027,DPB11_YEAST,YJL090C,DNA replication regulator DPB11,DPB11,
P47017,LSM1_YEAST,YJL124C,Sm-like protein LSm1,LSM1,SPB8
P46959,TRM61_YEAST,YJL125C,tRNA (adenine-N(1)-)-methyltransferase catalytic subunit TRM61,GCD14,TRM61
P35208,SPT10_YEAST,YJL127C,Protein SPT10,SPT10,CRE1;SUD1
P08018,PBS2_YEAST,YJL128C,MAP kinase kinase PBS2,PBS2,HOG4;SFS4;SSK4
P47013,LCB3_YEAST,YJL134W,Long-chain base protein 3,LCB3,LBP1;YSR2
Q3E754,RS21B_YEAST,YJL136C,40S ribosomal protein S21-B,RPS21B,RPS25B
P20433,RPB4_YEAST,YJL140W,DNA-directed RNA polymerase II 32 kDa polypeptide,RPB4,CTF15
P47026,GWT1_YEAST,YJL091C,GPI-anchored wall transfer protein 1,GWT1,
P39515,TIM17_YEAST,YJL143W,Mitochondrial import inner membrane translocase subunit TIM17,TIM17,MIM17;MPI2;SMS1
P40309,KHA1_YEAST,YJL094C,K(+)/H(+) antiporter 1,KHA1,
P40858,RN49_YEAST,YJL096W,60S ribosomal protein L49, mitochondrial precursor,MRPL49,
P32604,F26_YEAST,YJL155C,Fructose-2,6-bisphosphatase,FBP26,
P11986,INO1_YEAST,YJL153C,Inositol-3-phosphate synthase,INO1,APR1
P34110,VPS35_YEAST,YJL154C,Vacuolar protein sorting-associated protein 35,VPS35,GRD9;VPT7
P47001,CIS3_YEAST,YJL158C,Covalently-linked cell wall protein 11 precursor,CIS3,CCW11;CCW5;PIR4;SCW8
P32478,HS150_YEAST,YJL159W,150 kDa heat shock glycoprotein precursor,HSP150,CCW7;ORE1;PIR2
P47002,SSY5_YEAST,YJL156C,Protein SSY5,SSY5,
P06244,KAPA_YEAST,YJL164C,cAMP-dependent protein kinase type 1,TPK1,PKA1;SRA3
P08525,UCRQ_YEAST,YJL166W,Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C,QCR8,COR5
P46995,SET2_YEAST,YJL168C,Histone-lysine N-methyltransferase, H3 lysine-36 specific,SET2,EZL1
P27614,CBPS_YEAST,YJL172W,Carboxypeptidase S,CPS1,CPS
P26755,RFA3_YEAST,YJL173C,Replication factor-A protein 3,RFA3,RPA3
P32591,SWI3_YEAST,YJL176C,Transcription regulatory protein SWI3,SWI3,TYE2
P46989,ATG27_YEAST,YJL178C,Autophagy-related protein 27 precursor,ATG27,ETF1
P21268,FAR1_YEAST,YJL157C,Cyclin-dependent kinase inhibitor FAR1,FAR1,
P46997,JJJ2_YEAST,YJL162C,J protein type 2,JJJ2,
P32944,SWE1_YEAST,YJL187C,Mitosis inhibitor protein kinase SWE1,SWE1,WEE1
P04650,RL39_YEAST,YJL189W,60S ribosomal protein L39,RPL39,PUB2;RPL46;SPB2
P0C0W1,RS22A_YEAST,YJL190C,40S ribosomal protein S22-A,RPS22A,RPS24;RPS24A
