Q0045,COX1,Cytochrome c oxidase subunit 1,,,,_group828
Q0080,ATP8,ATP synthase protein 8,,,,_group467
Q0085,ATP6,ATP synthase a chain precursor,,,,_group467
Q0115,BI3,Cytochrome b mRNA maturase bI3,2AB5,,,doubleton1
Q0120,BI4,Intron-encoded RNA maturase bI4 precursor,,,,doubleton2
Q0130,mitochondrial,ATP synthase protein 9,,,,_group467
Q0250,COX2,Cytochrome c oxidase subunit 2 precursor,,,,_group828
Q0275,COX3,Cytochrome c oxidase subunit 3,,,,_group828
YAL001C,TFC3,Transcription factor tau 138 kDa subunit,,125,475,hart et al 67
YAL002W,VPS8,Vacuolar protein sorting-associated protein 8,,736,0,hart et al 60
YAL003W,EFB1,Elongation factor 1-beta,1F60,,,hart et al 118
YAL005C,SSA1,Heat shock protein SSA1,,269000,77,_group12
YAL007C,ERP2,Protein ERP2 precursor,,26300,49,hart et al 108
YAL009W,SPO7,Sporulation-specific protein SPO7,,861,0,doubleton3
YAL011W,SWC3,SWR1-complex protein 3,,1380,56,hart et al 9
YAL013W,DEP1,Transcriptional regulatory protein DEP1,,,,hart et al 22
YAL014C,SYN8,Syntaxin-8,,,,_group228
YAL016W,TPD3,Protein phosphatase PP2A regulatory subunit A,,16900,180,hart et al 37
YAL017W,PSK1,Probable serine/threonine-protein kinase YAL017W,,967,3,hart et al 338
YAL019W,FUN30,Probable ATP-dependent helicase YAL019W,,6800,28,_group1106
YAL020C,ATS1,Protein ATS1,,,,_group729
YAL021C,CCR4,Glucose-repressible alcohol dehydrogenase transcriptional effector,,2780,224,hart et al 59
YAL023C,PMT2,Dolichyl-phosphate-mannose--protein mannosyltransferase 2,,6510,61,doubleton4
YAL024C,LTE1,Low temperature essential protein,,304,144,hart et al 170
YAL025C,MAK16,Protein MAK16,,,,_group526
YAL026C,DRS2,Probable phospholipid-transporting ATPase DRS2,,606,20,_group616
YAL027W,SAW1,Uncharacterized protein YAL027W,,1170,36,hart et al 154
YAL028W,FRT2,Protein HPH2,,,,_group1106
YAL029C,MYO4,Myosin-4,,2210,0,hart et al 33
YAL030W,SNC1,Synaptobrevin homolog 1,3B5N,,,_group228
YAL031C,GIP4,Uncharacterized protein YAL031C,,227,17,_group3
YAL032C,PRP45,Pre-mRNA-processing protein 45,,1670,474,hart et al 16
YAL033W,POP5,Ribonucleases P/MRP protein subunit POP5,,2230,47,hart et al 55
YAL034C,FUN19,Uncharacterized protein FUN19,,,,hart et al 373
YAL034W-A,MTW1,Kinetochore-associated protein MTW1,,2610,-599,hart et al 101
YAL035W,FUN12,Eukaryotic translation initiation factor 5B,,13400,321,hart et al 19
YAL036C,RBG1,Uncharacterized GTP-binding protein YAL036C,,11700,57,hart et al 335
YAL038W,CDC19,Pyruvate kinase 1,1A3W,291000,0,hart et al 150
YAL040C,CLN3,G1/S-specific cyclin CLN3,,,,_group3
YAL041W,CDC24,Cell division control protein 24,1Q1O,1010,73,hart et al 366
YAL042W,ERV46,ER-derived vesicles protein ERV46,,,,hart et al 333
YAL043C,PTA1,Pre-tRNA-processing protein PTA1,,3730,0,hart et al 11
YAL047C,SPC72,Uncharacterized protein YAL047C,,639,-191,hart et al 92
YAL049C,,Uncharacterized protein YAL049C,,1800,560,hart et al 132
YAL051W,OAF1,Oleate-activated transcription factor 1,,92.3,0,doubleton5
YAL053W,FLC2,Flavin carrier protein 2 precursor,,414,29,hart et al 13
YAL055W,PEX22,Peroxisome assembly protein 22,,259,70,_group650
YAL056W,GPB2,Guanine nucleotide-binding protein subunit beta 2,,0,8,_group535
YAL059W,ECM1,Protein ECM1,,2840,36,hart et al 328
YAL060W,R)-butanediol dehydrogenase,(R,,8730,68,hart et al 380
YAL061W,BDH2,Zinc-type alcohol dehydrogenase-like protein YAL061W,,3090,0,hart et al 380
YAL062W,GDH3,NADP-specific glutamate dehydrogenase 2,,,,hart et al 322
YAR002C-A,ERP1,Protein ERP1 precursor,,20700,33,hart et al 108
YAR002W,NUP60,Nucleoporin NUP60,,4590,15,hart et al 10
YAR003W,SWD1,COMPASS component SWD1,,907,42,hart et al 52
YAR007C,RFA1,Replication factor-A protein 1,1YNX,4100,35,hart et al 34
YAR008W,SEN34,tRNA-splicing endonuclease subunit SEN34,,,,_group463
YAR014C,BUD14,Bud site selection protein 14,,538,29,hart et al 11
YAR015W,ADE1,Phosphoribosylaminoimidazole-succinocarboxamide synthase,2CNQ,4280,77,_group240
YAR019C,CDC15,Cell division control protein 15,,238,109,hart et al 153
YAR027W,UIP3,ULP1-interacting protein 3,,1690,0,_group565
YAR030C,,Very hypothetical protein YAR030C,,,,_group565
YAR033W,MST28,Multicopy suppressor of SEC21 protein 28,,,,doubleton6
YAR042W,SWH1,Oxysterol-binding protein homolog 1,,,,hart et al 371
YAR064W,,Uncharacterized protein YAR064W,,1520,0,_group1065
YBL002W,HTB2,Histone H2B.2,1ID3,443000,-1503,hart et al 128
YBL003C,HTA2,Histone H2A.2,,32100,167,hart et al 128
YBL004W,UTP20,Uncharacterized protein YBL004W,,,,hart et al 4
YBL005W,PDR3,Transcription factor PDR3,,166,51,_group872
YBL007C,SLA1,Cytoskeleton assembly control protein SLA1,"1SSH,1Z9Z,2HBP",952,41,hart et al 32
YBL008W,HIR1,Histone transcription regulator 1,,846,49,hart et al 90
YBL013W,mitochondrial precursor,Methionyl-tRNA formyltransferase,,1070,0,_group1106
YBL014C,RRN6,RNA polymerase I-specific transcription initiation factor RRN6,,237,33,hart et al 284
YBL016W,FUS3,Mitogen-activated protein kinase FUS3,2B9H,8480,43,_group988
YBL017C,PEP1,Vacuolar protein sorting/targeting protein PEP1 precursor,,7210,30,hart et al 32
YBL018C,POP8,Ribonucleases P/MRP protein subunit POP8,,4870,45,hart et al 55
YBL019W,APN2,DNA-(apurinic or apyrimidinic site) lyase 2,,414,40,_group978
YBL021C,HAP3,Transcriptional activator HAP3,,2510,51,hart et al 177
YBL023C,MCM2,DNA replication licensing factor MCM2,,1690,124,_group787
YBL025W,RRN10,RNA polymerase I-specific transcription initiation factor RRN10,,0,411,_group1
YBL026W,LSM2,U6 snRNA-associated Sm-like protein LSm2,,2210,31,hart et al 21
YBL030C,ATP carrier protein 2,ADP,,,,_group296
YBL031W,SHE1,Uncharacterized protein YBL031W,,264,0,_group916
