Q0045.unknown,unknown,Q0045,COX1,Cytochrome c oxidase subunit 1,,,
Q0080.unknown,unknown,Q0080,ATP8,ATP synthase protein 8,,,
Q0085.unknown,unknown,Q0085,ATP6,ATP synthase a chain precursor,,,
Q0115.unknown,unknown,Q0115,BI3,Cytochrome b mRNA maturase bI3,2AB5,,
Q0120.unknown,unknown,Q0120,BI4,Intron-encoded RNA maturase bI4 precursor,,,
Q0130.unknown,unknown,Q0130,mitochondrial,ATP synthase protein 9,,,
Q0250.unknown,unknown,Q0250,COX2,Cytochrome c oxidase subunit 2 precursor,,,
Q0275.unknown,unknown,Q0275,COX3,Cytochrome c oxidase subunit 3,,,
YAL001C.cytoplasm,cytoplasm,YAL001C,TFC3,Transcription factor tau 138 kDa subunit,,125,475
YAL001C.nucleus,nucleus,YAL001C,TFC3,Transcription factor tau 138 kDa subunit,,125,475
YAL002W.endosome,endosome,YAL002W,VPS8,Vacuolar protein sorting-associated protein 8,,736,0
YAL003W.unknown,unknown,YAL003W,EFB1,Elongation factor 1-beta,1F60,,
YAL005C.cytoplasm,cytoplasm,YAL005C,SSA1,Heat shock protein SSA1,,269000,77
YAL007C.ER,ER,YAL007C,ERP2,Protein ERP2 precursor,,26300,49
YAL009W.nucleus,nucleus,YAL009W,SPO7,Sporulation-specific protein SPO7,,861,0
YAL011W.nucleus,nucleus,YAL011W,SWC3,SWR1-complex protein 3,,1380,56
YAL013W.unknown,unknown,YAL013W,DEP1,Transcriptional regulatory protein DEP1,,,
YAL014C.cytoplasm,cytoplasm,YAL014C,SYN8,Syntaxin-8,,,
YAL014C.nucleus,nucleus,YAL014C,SYN8,Syntaxin-8,,,
YAL016W.cytoplasm,cytoplasm,YAL016W,TPD3,Protein phosphatase PP2A regulatory subunit A,,16900,180
YAL016W.nucleus,nucleus,YAL016W,TPD3,Protein phosphatase PP2A regulatory subunit A,,16900,180
YAL017W.cytoplasm,cytoplasm,YAL017W,PSK1,Probable serine/threonine-protein kinase YAL017W,,967,3
YAL019W.nucleus,nucleus,YAL019W,FUN30,Probable ATP-dependent helicase YAL019W,,6800,28
YAL020C.unknown,unknown,YAL020C,ATS1,Protein ATS1,,,
YAL021C.cytoplasm,cytoplasm,YAL021C,CCR4,Glucose-repressible alcohol dehydrogenase transcriptional effector,,2780,224
YAL023C.ER,ER,YAL023C,PMT2,Dolichyl-phosphate-mannose--protein mannosyltransferase 2,,6510,61
YAL024C.cytoplasm,cytoplasm,YAL024C,LTE1,Low temperature essential protein,,304,144
YAL025C.unknown,unknown,YAL025C,MAK16,Protein MAK16,,,
YAL026C.early Golgi,early Golgi,YAL026C,DRS2,Probable phospholipid-transporting ATPase DRS2,,606,20
YAL026C.late Golgi,late Golgi,YAL026C,DRS2,Probable phospholipid-transporting ATPase DRS2,,606,20
YAL027W.nucleus,nucleus,YAL027W,SAW1,Uncharacterized protein YAL027W,,1170,36
YAL028W.unknown,unknown,YAL028W,FRT2,Protein HPH2,,,
YAL029C.cytoplasm,cytoplasm,YAL029C,MYO4,Myosin-4,,2210,0
YAL029C.bud neck,bud neck,YAL029C,MYO4,Myosin-4,,2210,0
YAL029C.cell periphery,cell periphery,YAL029C,MYO4,Myosin-4,,2210,0
YAL029C.bud,bud,YAL029C,MYO4,Myosin-4,,2210,0
YAL030W.unknown,unknown,YAL030W,SNC1,Synaptobrevin homolog 1,3B5N,,
YAL031C.cytoplasm,cytoplasm,YAL031C,GIP4,Uncharacterized protein YAL031C,,227,17
YAL032C.nucleus,nucleus,YAL032C,PRP45,Pre-mRNA-processing protein 45,,1670,474
YAL033W.cytoplasm,cytoplasm,YAL033W,POP5,Ribonucleases P/MRP protein subunit POP5,,2230,47
YAL033W.nucleus,nucleus,YAL033W,POP5,Ribonucleases P/MRP protein subunit POP5,,2230,47
YAL034C.unknown,unknown,YAL034C,FUN19,Uncharacterized protein FUN19,,,
YAL034W-A.spindle pole,spindle pole,YAL034W-A,MTW1,Kinetochore-associated protein MTW1,,2610,-599
YAL035W.cytoplasm,cytoplasm,YAL035W,FUN12,Eukaryotic translation initiation factor 5B,,13400,321
YAL036C.cytoplasm,cytoplasm,YAL036C,RBG1,Uncharacterized GTP-binding protein YAL036C,,11700,57
YAL038W.cytoplasm,cytoplasm,YAL038W,CDC19,Pyruvate kinase 1,1A3W,291000,0
YAL040C.unknown,unknown,YAL040C,CLN3,G1/S-specific cyclin CLN3,,,
YAL041W.cytoplasm,cytoplasm,YAL041W,CDC24,Cell division control protein 24,1Q1O,1010,73
YAL041W.nucleus,nucleus,YAL041W,CDC24,Cell division control protein 24,1Q1O,1010,73
YAL042W.unknown,unknown,YAL042W,ERV46,ER-derived vesicles protein ERV46,,,
YAL043C.nucleus,nucleus,YAL043C,PTA1,Pre-tRNA-processing protein PTA1,,3730,0
YAL047C.spindle pole,spindle pole,YAL047C,SPC72,Uncharacterized protein YAL047C,,639,-191
YAL049C.cytoplasm,cytoplasm,YAL049C,,Uncharacterized protein YAL049C,,1800,560
YAL051W.unknown,unknown,YAL051W,OAF1,Oleate-activated transcription factor 1,,92.3,0
YAL053W.late Golgi,late Golgi,YAL053W,FLC2,Flavin carrier protein 2 precursor,,414,29
YAL053W.bud neck,bud neck,YAL053W,FLC2,Flavin carrier protein 2 precursor,,414,29
YAL053W.cell periphery,cell periphery,YAL053W,FLC2,Flavin carrier protein 2 precursor,,414,29
YAL053W.bud,bud,YAL053W,FLC2,Flavin carrier protein 2 precursor,,414,29
YAL053W.punctate composite,punctate composite,YAL053W,FLC2,Flavin carrier protein 2 precursor,,414,29
YAL055W.punctate composite,punctate composite,YAL055W,PEX22,Peroxisome assembly protein 22,,259,70
YAL056W.cytoplasm,cytoplasm,YAL056W,GPB2,Guanine nucleotide-binding protein subunit beta 2,,0,8
YAL056W.mitochondrion,mitochondrion,YAL056W,GPB2,Guanine nucleotide-binding protein subunit beta 2,,0,8
YAL059W.nucleus,nucleus,YAL059W,ECM1,Protein ECM1,,2840,36
YAL060W.cytoplasm,cytoplasm,YAL060W,R)-butanediol dehydrogenase,(R,,8730,68
YAL061W.cytoplasm,cytoplasm,YAL061W,BDH2,Zinc-type alcohol dehydrogenase-like protein YAL061W,,3090,0
YAL061W.nucleus,nucleus,YAL061W,BDH2,Zinc-type alcohol dehydrogenase-like protein YAL061W,,3090,0
YAL062W.unknown,unknown,YAL062W,GDH3,NADP-specific glutamate dehydrogenase 2,,,
YAR002C-A.vacuolar membrane,vacuolar membrane,YAR002C-A,ERP1,Protein ERP1 precursor,,20700,33
YAR002W.nuclear periphery,nuclear periphery,YAR002W,NUP60,Nucleoporin NUP60,,4590,15
YAR003W.nucleus,nucleus,YAR003W,SWD1,COMPASS component SWD1,,907,42
YAR007C.nucleus,nucleus,YAR007C,RFA1,Replication factor-A protein 1,1YNX,4100,35
YAR008W.unknown,unknown,YAR008W,SEN34,tRNA-splicing endonuclease subunit SEN34,,,
YAR014C.cytoplasm,cytoplasm,YAR014C,BUD14,Bud site selection protein 14,,538,29
YAR014C.nucleus,nucleus,YAR014C,BUD14,Bud site selection protein 14,,538,29
YAR015W.cytoplasm,cytoplasm,YAR015W,ADE1,Phosphoribosylaminoimidazole-succinocarboxamide synthase,2CNQ,4280,77
YAR015W.nucleus,nucleus,YAR015W,ADE1,Phosphoribosylaminoimidazole-succinocarboxamide synthase,2CNQ,4280,77
YAR019C.spindle pole,spindle pole,YAR019C,CDC15,Cell division control protein 15,,238,109
YAR027W.unknown,unknown,YAR027W,UIP3,ULP1-interacting protein 3,,1690,0
YAR030C.unknown,unknown,YAR030C,,Very hypothetical protein YAR030C,,,
YAR033W.unknown,unknown,YAR033W,MST28,Multicopy suppressor of SEC21 protein 28,,,
YAR042W.unknown,unknown,YAR042W,SWH1,Oxysterol-binding protein homolog 1,,,
YAR064W.unknown,unknown,YAR064W,,Uncharacterized protein YAR064W,,1520,0
YBL002W.nucleus,nucleus,YBL002W,HTB2,Histone H2B.2,1ID3,443000,-1503
YBL003C.nucleus,nucleus,YBL003C,HTA2,Histone H2A.2,,32100,167
YBL004W.cytoplasm,cytoplasm,YBL004W,UTP20,Uncharacterized protein YBL004W,,,
YBL004W.nucleolus,nucleolus,YBL004W,UTP20,Uncharacterized protein YBL004W,,,
YBL005W.cytoplasm,cytoplasm,YBL005W,PDR3,Transcription factor PDR3,,166,51
YBL005W.nucleus,nucleus,YBL005W,PDR3,Transcription factor PDR3,,166,51
YBL007C.cytoplasm,cytoplasm,YBL007C,SLA1,Cytoskeleton assembly control protein SLA1,"1SSH,1Z9Z,2HBP",952,41
